"","GayMarriage","SexualFreedom","GayAdoption","GenderQuotas","AffirmativeAction","LegalizedMarijuana","Country","LibCons","LeftRight","Gender","Age"
"632","0","1","0","1","1","2","Hungary",4,5,"Female",21
"633","0","2","2","1","2","2","Hungary",1,9,"Female",23
"634","0","0","2","2","1","2","Hungary",8,8,"Male",22
"635","1","1","1","2","2","0","Hungary",5,7,"Female",20
"636","2","2","1","2","2","2","Hungary",8,4,"Male",22
"637","1","1","1","2","2","1","Hungary",2,3,"Female",19
"638","2","2","2","2","2","0","Hungary",4,5,"Female",20
"639","2","2","2","2","1","0","Hungary",4,5,"Male",21
"640","0","1","0","0","0","1","Hungary",3,4,"Female",24
"641","0","2","0","2","0","1","Hungary",4,6,"Female",22
"642","1","1","2","0","1","1","Hungary",2,6,"Male",20
"643","2","1","1","1","2","2","Hungary",3,3,"Male",25
"644","1","1","2","2","2","0","Hungary",3,3,"Male",24
"645","1","1","1","1","0","2","Hungary",5,3,"Male",27
"646","2","1","2","0","0","0","Hungary",3,8,"Female",26
"647","0","2","0","1","1","1","Hungary",1,4,"Female",20
"648","0","1","0","2","0","2","Hungary",6,5,"Female",21
"649","0","0","0","2","2","0","Hungary",4,4,"Female",20
"650","1","1","1","1","1","1","Hungary",3,4,"Male",24
"651","1","1","0","0","0","0","Hungary",5,7,"Female",28
"652","0","1","2","2","0","0","Hungary",8,8,"Male",20
"653","0","0","0","1","1","1","Hungary",8,7,"Male",24
"654","1","1","2","2","2","2","Hungary",5,4,"Male",21
"655","1","1","2","2","0","2","Hungary",4,5,"Male",22
"656","1","2","1","2","0","2","Hungary",2,7,"Male",22
"657","1","2","2","2","2","2","Hungary",2,8,"Male",19
"658","0","1","0","0","1","0","Hungary",2,8,"Female",20
"659","1","1","2","2","2","2","Hungary",4,5,"Female",19
"660","0","0","0","2","1","2","Hungary",4,5,"Female",20
"661","0","1","0","1","1","0","Hungary",8,5,"Male",22
"662","0","1","0","1","1","2","Hungary",9,5,"Male",21
"663","1","1","1","1","1","2","Hungary",3,8,"Male",21
"664","0","1","0","2","0","0","Hungary",6,5,"Female",22
"665","0","1","0","2","0","2","Hungary",4,4,"Male",20
"666","0","1","1","1","2","1","Hungary",2,9,"Female",19
"667","2","2","2","1","2","2","Hungary",5,4,"Female",23
"668","1","1","1","2","0","1","Hungary",2,3,"Male",21
"669","0","1","0","2","0","2","Hungary",5,5,"Female",25
"670","0","2","0","1","2","2","Hungary",5,6,"Female",24
"671","2","1","0","1","2","2","Hungary",3,4,"Male",22
"672","1","1","1","2","2","1","Hungary",2,4,"Male",21
"673","0","0","0","1","1","2","Hungary",8,4,"Female",24
"674","2","1","0","0","2","1","Hungary",4,4,"Male",23
"675","1","2","2","1","2","0","Hungary",2,4,"Female",23
"676","1","2","1","1","1","1","Hungary",3,6,"Female",23
"677","1","1","1","2","1","2","Hungary",2,5,"Male",23
"678","0","1","0","2","1","1","Hungary",5,6,"Female",31
"679","1","1","1","2","2","1","Hungary",2,8,"Male",20
"680","1","1","0","0","0","1","Hungary",2,3,"Female",22
"681","0","2","0","2","2","2","Hungary",4,6,"Female",22
"682","1","1","1","1","1","1","Hungary",2,3,"Male",21
"683","1","1","1","1","0","1","Hungary",2,3,"Female",21
"684","0","0","0","1","2","0","Hungary",5,6,"Male",24
"685","2","1","1","0","0","1","Hungary",2,4,"Male",21
"686","1","1","1","2","1","0","Hungary",6,8,"Female",24
"687","1","1","0","1","1","0","Hungary",2,7,"Female",25
"688","1","1","1","1","1","1","Hungary",1,2,"Male",24
"689","2","1","1","1","1","1","Hungary",4,5,"Male",22
"690","0","0","0","0","2","1","Hungary",4,4,"Female",21
"691","1","2","1","2","1","1","Hungary",8,9,"Male",19
"692","0","1","0","1","1","1","Hungary",8,8,"Male",18
"693","1","1","1","1","1","0","Hungary",4,5,"Male",26
"694","2","1","0","1","0","1","Hungary",3,2,"Male",26
"695","1","1","1","1","0","1","Hungary",1,9,"Female",23
"696","0","1","0","1","0","2","Hungary",1,6,"Female",18
"697","1","1","1","1","0","0","Hungary",8,8,"Male",24
"698","0","1","0","2","0","2","Hungary",3,8,"Male",25
"699","0","1","0","1","0","2","Hungary",2,4,"Male",24
"700","2","1","0","1","2","2","Hungary",3,5,"Male",20
"701","0","0","0","1","0","1","Hungary",4,6,"Male",22
"702","1","2","1","2","0","1","Hungary",2,4,"Male",22
"703","1","1","0","1","1","0","Hungary",4,8,"Female",22
"704","2","1","2","2","2","2","Hungary",4,4,"Female",20
"705","1","1","1","2","1","2","Hungary",4,9,"Female",28
"706","1","1","1","2","1","1","Hungary",5,6,"Male",19
"707","0","1","0","1","1","2","Hungary",2,5,"Male",20
"708","1","1","1","2","1","1","Hungary",2,5,"Female",19
"709","1","1","0","1","0","0","Hungary",3,3,"Female",19
"710","1","1","1","2","2","2","Hungary",3,8,"Male",22
"711","0","1","0","0","1","0","Hungary",5,5,"Female",23
"712","2","2","1","1","1","0","Hungary",2,8,"Male",20
"713","1","1","2","2","1","1","Hungary",8,5,"Female",20
"714","0","1","0","0","1","2","Hungary",4,5,"Female",19
"715","1","2","2","2","1","0","Hungary",8,8,"Male",19
"716","0","1","2","1","0","0","Hungary",5,2,"Female",19
"717","0","1","0","1","1","0","Hungary",2,7,"Male",21
"718","0","1","0","1","1","1","Hungary",5,6,"Male",19
"719","0","1","0","1","2","1","Hungary",5,8,"Male",20
"720","1","1","0","0","0","0","Hungary",3,3,"Female",25
"721","1","1","1","1","0","1","Hungary",2,6,"Female",24
"722","1","1","2","1","0","0","Hungary",5,5,"Male",24
"723","0","0","0","1","1","0","Hungary",5,8,"Male",26
"724","1","1","1","0","1","2","Hungary",1,4,"Male",23
"725","1","1","1","2","1","1","Hungary",6,5,"Male",24
"726","0","2","1","2","2","0","Hungary",3,4,"Female",22
"727","0","1","0","0","1","2","Hungary",2,6,"Female",20
"728","0","1","0","1","0","0","Hungary",8,4,"Male",23
"729","0","1","0","1","1","1","Hungary",4,4,"Female",21
"730","0","1","0","2","2","2","Hungary",5,7,"Male",21
"731","0","2","0","2","0","1","Hungary",5,5,"Female",24
"732","0","0","0","0","2","0","Hungary",3,3,"Female",23
"733","1","1","1","1","1","2","Hungary",3,3,"Male",21
"734","0","0","0","2","2","0","Hungary",3,3,"Female",22
"735","2","1","2","0","2","1","Hungary",1,4,"Female",24
"736","0","2","0","1","0","2","Hungary",5,6,"Male",23
"737","1","1","1","1","0","1","Hungary",5,5,"Male",23
"738","2","1","2","1","0","0","Hungary",5,6,"Female",24
"739","0","0","0","1","1","1","Hungary",5,3,"Female",22
"740","0","0","0","2","1","0","Hungary",8,5,"Female",23
"741","0","0","0","2","1","0","Hungary",5,3,"Female",24
"742","0","1","0","0","2","0","Hungary",6,5,"Female",22
"743","0","2","0","0","0","0","Hungary",6,6,"Female",24
"744","0","1","0","0","1","2","Hungary",7,5,"Female",23
"745","0","2","0","2","2","0","Hungary",5,6,"Female",22
"746","1","1","2","1","1","1","Hungary",2,4,"Male",20
"747","1","1","1","1","2","1","Hungary",4,8,"Male",21
"748","0","1","2","2","2","2","Hungary",3,4,"Female",31
"749","2","1","2","2","0","0","Hungary",8,8,"Female",22
"750","0","2","0","1","1","0","Hungary",6,6,"Female",23
"751","2","2","0","0","0","1","Hungary",4,9,"Male",23
"752","1","1","0","0","0","1","Hungary",5,6,"Female",22
"753","0","1","0","0","2","0","Hungary",5,5,"Female",20
"754","1","1","1","1","2","0","Hungary",2,3,"Female",27
"755","1","1","0","0","0","1","Hungary",6,7,"Male",24
"756","1","1","1","2","2","2","Hungary",3,8,"Male",22
"757","1","1","1","1","1","1","Hungary",5,5,"Male",21
"758","0","0","0","2","2","2","Hungary",8,5,"Male",21
"759","0","1","0","2","2","0","Hungary",5,8,"Male",21
"760","1","1","1","1","2","0","Hungary",3,4,"Female",27
"761","1","1","1","2","1","2","Hungary",4,5,"Male",21
"762","2","1","2","1","1","2","Hungary",8,6,"Male",21
"763","1","1","1","1","2","0","Hungary",2,4,"Female",20
"764","1","1","1","2","1","1","Hungary",8,4,"Female",22
"765","1","1","1","1","1","2","Hungary",2,3,"Male",24
"766","0","0","0","1","1","2","Hungary",5,5,"Male",21
"767","0","0","2","2","1","2","Hungary",6,5,"Female",31
"768","1","1","1","1","1","1","Hungary",4,9,"Male",22
"769","1","1","1","1","1","0","Hungary",2,5,"Male",21
"770","0","0","0","1","2","1","Hungary",1,6,"Female",22
"771","0","0","0","1","0","1","Hungary",3,4,"Male",20
"772","1","1","1","2","2","1","Hungary",4,4,"Male",22
"773","1","1","1","0","1","0","Hungary",2,5,"Male",20
"774","2","1","2","1","0","2","Hungary",9,8,"Female",22
"775","0","1","0","2","2","1","Hungary",4,5,"Female",22
"776","1","1","1","1","0","2","Hungary",3,3,"Male",21
"777","2","2","2","2","1","2","Hungary",3,6,"Male",20
"778","0","0","0","1","1","1","Hungary",4,5,"Female",19
"779","1","1","0","1","1","1","Hungary",3,6,"Male",22
"780","2","2","2","1","2","2","Hungary",4,4,"Male",24
"781","0","1","0","2","1","1","Hungary",8,5,"Female",26
"782","1","1","1","2","1","0","Hungary",1,1,"Male",24
"783","0","0","0","2","0","1","Hungary",8,6,"Female",20
"784","1","1","0","1","1","1","Hungary",6,6,"Female",24
"785","2","1","2","1","1","0","Hungary",4,4,"Female",25
"786","0","2","1","0","1","0","Hungary",6,5,"Female",23
"787","1","1","1","0","0","0","Hungary",1,3,"Male",21
"788","1","1","1","2","2","2","Hungary",8,8,"Male",24
"789","0","1","0","2","1","1","Hungary",5,5,"Female",23
"790","0","1","0","0","1","0","Hungary",5,5,"Female",26
"791","1","1","1","0","1","0","Hungary",3,2,"Male",19
"792","2","1","1","2","0","1","Hungary",3,6,"Male",24
"793","0","2","0","2","0","0","Hungary",3,5,"Female",21
"794","0","1","0","1","1","0","Hungary",5,6,"Male",25
"795","2","2","2","1","2","1","Hungary",4,4,"Male",20
"796","0","0","0","0","0","1","Hungary",8,4,"Female",19
"797","0","2","0","2","0","2","Hungary",5,5,"Female",22
"798","1","1","0","0","0","1","Hungary",2,6,"Female",21
"799","0","1","0","0","0","2","Hungary",5,5,"Female",25
"800","0","1","1","2","0","1","Hungary",9,5,"Female",21
"801","1","1","1","1","2","1","Hungary",2,4,"Male",22
"802","0","1","0","0","0","0","Hungary",5,6,"Female",21
