"","Party","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20"
"Mikulski","D","0","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,"1","0","1","1","1"
"Kennedy","D","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1"
"Kerry","D","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","0","1","1","1"
"Levin","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Stabenow","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Coleman","R","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","1","0","0","1","1"
"Klobuchar","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Cochran","R","0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Lott","R","0","1","0","0","0","0","0","0","0",NA,"0","0","0","0","0","1","0","0","0","1"
"Bond","R",NA,"1",NA,"0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"McCaskill","D","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1"
"Baucus","D","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1"
"Tester","D","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Hagel","R",NA,"1","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"Ensign","R","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reid","D","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1"
"Gregg","R","0","0","0","0","0","1","0","0","0",NA,"0","1","0","0","0","0","0","0","0","0"
"Sununu","R","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Lautenberg","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"Menendez","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Bingaman","D","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Domenici","R","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"Clinton","D","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1",NA,NA,NA,"1",NA
"Schumer","D","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Burr","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dole","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Conrad","D","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"Dorgan","D","1","1","1","1","1","1","0","1","1",NA,"1","1","1","1","0","1","1","1","1","1"
"Brown","D","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Voinovich","R","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0",NA,"0","0"
"Coburn","R","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1"
"Inhofe","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Smith","R","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","0","0","1","1"
"Wyden","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Casey","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Specter","R","0","1","1","0","1","1","1","1","0","0","1","1","1","1","0","1","0","0","0","1"
"Reed","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"Whitehouse","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"DeMint","R","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Graham","R","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Johnson","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","0","1","0","1","1","1"
"Thune","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"Alexander","R","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"Corker","R","0","1",NA,"0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"Cornyn","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Hutchison","R","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"Bennett","R","0","1",NA,"0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"Hatch","R","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1"
"Leahy","D","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Sanders","I","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Warner","R","0","1","1","0","0","1","0","0","0","0","0","1","1",NA,"0","1","0","0","0","1"
"Webb","D","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Cantwell","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Murray","D","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","0","1","1","1"
"Byrd","D","1","1","1","1","1","0","0","1","1","1",NA,"1","1","1","0","1","1","1","1","1"
"Rockefeller","D","1","1","1","1","1",NA,"0","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Feingold","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
"Kohl","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Enzi","R","0","1","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1"
